name,category,pricing,description,website,review_url,slug
Intercom AI,Customer Service,Free Trial,Free AI chatbot and live chat for customer engagement. Product tours included.,https://www.intercom.com/,https://autoventure.live/reviews/intercom-ai.html,intercom-ai
KalTalk,Customer Service,Free,"Single AI agent that handles support tickets from your docs and scores visitor intent in real time to reach out when buyers are ready, with a free tier to get started.",https://kaltalk.com/,https://autoventure.live/reviews/kaltalk.html,kaltalk
Levity,Customer Service,Free,Free AI ticket classification and routing. No-code automation for support teams.,https://www.levity.ai/,https://autoventure.live/reviews/levity.html,levity
LiveChat,Customer Service,Free Trial,Free AI live chat with chatbot and ticketing. 14-day free trial.,https://www.livechat.com/,https://autoventure.live/reviews/livechat.html,livechat
MonkeyLearn,Customer Service,Free,Free AI text analysis for support tickets. Classify and route tickets automatically.,https://monkeylearn.com/,https://autoventure.live/reviews/monkeylearn.html,monkeylearn
Salesforce Service Cloud,Customer Service,Free Trial,Free AI case routing and auto-responses. Einstein AI included.,https://www.salesforce.com/service/,https://autoventure.live/reviews/salesforce-service-cloud.html,salesforce-service-cloud
Tawk.to,Customer Service,Free,Free AI live chat and helpdesk. Unlimited agents with AI-powered responses.,https://www.tawk.to/,https://autoventure.live/reviews/tawk-to.html,tawk-to
Zoho Desk,Customer Service,Free,AI helpdesk with auto-ticket routing. Free plan available.,https://zoho.com/desk,https://autoventure.live/reviews/zoho-desk.html,zoho-desk
Zoho Desk AI,Customer Service,Free,Free AI helpdesk with sentiment analysis and auto-ticket tagging.,https://www.zoho.com/desk/,https://autoventure.live/reviews/zoho-desk-ai.html,zoho-desk-ai
Akkio,Data,Free,AI data analysis and prediction platform. Free tier available.,https://akkio.com,https://autoventure.live/reviews/akkio.html,akkio
Dataset,Data,Free,AI data labeling and management platform. Free tier available.,https://dataset.ai,https://autoventure.live/reviews/dataset.html,dataset
Datawrapper,Data,Free,Simple chart and map builder with AI-assisted design suggestions.,https://www.datawrapper.de/,https://autoventure.live/reviews/datawrapper.html,datawrapper
Deepnote,Data,Free,"Collaborative data science notebook with built-in AI for analytics, data apps, and ETL pipelines, offering a free tier.",https://deepnote.com,https://autoventure.live/reviews/deepnote.html,deepnote
Flourish,Data,Free,Template-based visualization tool with free public publishing.,https://flourish.studio/,https://autoventure.live/reviews/flourish.html,flourish
Google Sheets AI,Data,Free,"Free AI-assisted spreadsheet analysis. Smart formulas, insights, and auto-summaries.",https://www.google.com/sheets/about/,https://autoventure.live/reviews/google-sheets-ai.html,google-sheets-ai
Hugging Face Datasets,Data,Free,Open-source library and community for dataset preparation and labeling.,https://huggingface.co/datasets,https://autoventure.live/reviews/hugging-face-datasets.html,hugging-face-datasets
Kompy,Data,Free,"Unified Walmart data API that delivers live prices, stock, sellers, and full price history as clean JSON via REST or MCP, with free starter credits for developers and agents.",https://kompy.io/,https://autoventure.live/reviews/kompy.html,kompy
Label Studio,Data,Free,Open-source data labeling platform with AI-assisted pre-labeling.,https://labelstud.io/,https://autoventure.live/reviews/label-studio.html,label-studio
LlamaParse,Data,Free,"Document processing platform from LlamaIndex that parses 130+ file formats into LLM-ready markdown and JSON, with a free tier of 10,000 credits per month (~1,000 pages).",https://www.llamaindex.ai/,https://autoventure.live/reviews/llamaparse.html,llamaparse
New Relic AI,Data,Free,"AI-powered observability assistant that lets developers and DevOps teams query telemetry data, debug errors, and monitor system health using plain English; free tier includes 100 GB/month data ingest.",https://newrelic.com/pricing,https://autoventure.live/reviews/new-relic-ai.html,new-relic-ai
Observable,Data,Free,Interactive data visualization notebooks with AI helpers for quick charting.,https://observablehq.com/,https://autoventure.live/reviews/observable.html,observable
Pandas AI,Data,Free,AI-powered data analysis library for Python. Open source.,https://pandas-ai.com,https://autoventure.live/reviews/pandas-ai.html,pandas-ai
Prodigy,Data,Free Trial,AI-powered annotation tool with a free trial for small projects.,https://prodi.gy/,https://autoventure.live/reviews/prodigy.html,prodigy
Tableau Public,Data,Free,Free data visualization platform with AI-assisted chart recommendations.,https://public.tableau.com/,https://autoventure.live/reviews/tableau-public.html,tableau-public
Adobe Firefly,Design,Free,Free AI image generation integrated with Creative Cloud. Text-to-image and text effects.,https://www.adobe.com/products/firefly.html,https://autoventure.live/reviews/adobe-firefly.html,adobe-firefly
ArchDiagramAI,Design,Free Trial,"AI architecture diagram generator that turns plain-English prompts or reference images into professional system diagrams in multiple styles, with a free trial for the first diagram.",https://architecturediagramai.com,https://autoventure.live/reviews/archdiagramai.html,archdiagramai
Canva AI,Design,Free,"Built-in AI design tools inside Canva: Magic Write, Magic Media, background remover. Free tier with monthly AI limits.",https://www.canva.com/,https://autoventure.live/reviews/canva-ai.html,canva-ai
Designs.ai,Design,Free,"Free AI design suite for logos, videos, and banners. Generous free credits.",https://designs.ai/,https://autoventure.live/reviews/designs-ai.html,designs-ai
Figma,Design,Free,"Collaborative design tool with AI features for wireframing, prototyping, and UI design, offering a free Starter plan with 150 AI credits per day.",https://www.figma.com,https://autoventure.live/reviews/figma.html,figma
Fontjoy,Design,Free,Free AI font pairing tool. Generate harmonious font combinations instantly.,https://fontjoy.com/,https://autoventure.live/reviews/fontjoy.html,fontjoy
Galileo AI,Design,Free,Free AI UI design generator. Create editable Figma designs from text prompts.,https://www.usegalileo.ai/,https://autoventure.live/reviews/galileo-ai.html,galileo-ai
